time of beginning	 average(mean value)
06/06/2025 05:00:00	49.96
06/06/2025 06:00:00	50.60
06/06/2025 07:00:00	49.85
06/06/2025 08:00:00	50.13
06/06/2025 09:00:00	50.22
06/06/2025 10:00:00	50.32
06/06/2025 11:00:00	50.38
06/06/2025 12:00:00	50.30
06/06/2025 13:00:00	49.79
06/06/2025 14:00:00	50.19
06/06/2025 15:00:00	49.97
06/06/2025 16:00:00	50.42
06/06/2025 17:00:00	49.79
06/06/2025 18:00:00	49.77
06/06/2025 19:00:00	50.66
06/06/2025 20:00:00	50.46
06/06/2025 21:00:00	50.34
06/06/2025 22:00:00	49.95
06/06/2025 23:00:00	50.09
06/07/2025 00:00:00	50.03
06/07/2025 01:00:00	49.85
06/07/2025 02:00:00	49.94
06/07/2025 03:00:00	50.33
06/07/2025 04:00:00	50.30
06/07/2025 05:00:00	50.12
06/07/2025 06:00:00	50.36
06/07/2025 07:00:00	49.61
06/07/2025 08:00:00	50.43
06/07/2025 09:00:00	50.69
06/07/2025 10:00:00	50.49
06/07/2025 11:00:00	50.31
06/07/2025 12:00:00	50.67
06/07/2025 13:00:00	50.15
06/07/2025 14:00:00	50.12
06/07/2025 15:00:00	49.40
06/07/2025 16:00:00	49.71
06/07/2025 17:00:00	50.59
06/07/2025 18:00:00	51.06
06/07/2025 19:00:00	49.79
06/07/2025 20:00:00	50.06
06/07/2025 21:00:00	50.01
06/07/2025 22:00:00	50.52
06/07/2025 23:00:00	49.54
06/08/2025 00:00:00	50.30
06/08/2025 01:00:00	50.53
06/08/2025 02:00:00	49.50
06/08/2025 03:00:00	49.98
06/08/2025 04:00:00	49.98
06/08/2025 05:00:00	50.24
06/08/2025 06:00:00	50.23
06/08/2025 07:00:00	49.80
06/08/2025 08:00:00	49.62
06/08/2025 09:00:00	50.18
06/08/2025 10:00:00	50.19
06/08/2025 11:00:00	50.64
06/08/2025 12:00:00	49.59
06/08/2025 13:00:00	50.44
06/08/2025 14:00:00	51.09
06/08/2025 15:00:00	50.00
06/08/2025 16:00:00	49.40
06/08/2025 17:00:00	49.83
06/08/2025 18:00:00	49.12
06/08/2025 19:00:00	50.43
06/08/2025 20:00:00	49.86
06/08/2025 21:00:00	49.68
06/08/2025 22:00:00	50.01
06/08/2025 23:00:00	49.87
06/09/2025 00:00:00	49.94
06/09/2025 01:00:00	50.32
06/09/2025 02:00:00	50.48
06/09/2025 03:00:00	50.40
06/09/2025 04:00:00	50.08
06/09/2025 05:00:00	50.10
06/09/2025 06:00:00	50.18
06/09/2025 07:00:00	49.96
06/09/2025 08:00:00	49.93
06/09/2025 09:00:00	49.57
06/09/2025 10:00:00	50.29
06/09/2025 11:00:00	50.18
06/09/2025 12:00:00	50.47
06/09/2025 13:00:00	50.46
06/09/2025 14:00:00	50.29
06/09/2025 15:00:00	50.42
06/09/2025 16:00:00	50.31
06/09/2025 17:00:00	50.65
06/09/2025 18:00:00	49.65
06/09/2025 19:00:00	50.04
06/09/2025 20:00:00	50.07
06/09/2025 21:00:00	50.06
06/09/2025 22:00:00	49.07
06/09/2025 23:00:00	50.59
06/10/2025 00:00:00	49.81
06/10/2025 01:00:00	49.75
06/10/2025 02:00:00	50.34
06/10/2025 03:00:00	49.78
06/10/2025 04:00:00	49.79
06/10/2025 05:00:00	50.17
06/10/2025 06:00:00	50.25
06/10/2025 07:00:00	49.97
06/10/2025 08:00:00	50.15
06/10/2025 09:00:00	50.00
06/10/2025 10:00:00	49.82
06/10/2025 11:00:00	49.94
06/10/2025 12:00:00	50.36
06/10/2025 13:00:00	49.38
06/10/2025 14:00:00	49.90
06/10/2025 15:00:00	50.31
06/10/2025 16:00:00	49.93
06/10/2025 17:00:00	49.87
06/10/2025 18:00:00	50.03
06/10/2025 19:00:00	49.91
06/10/2025 20:00:00	50.04
06/10/2025 21:00:00	50.21
06/10/2025 22:00:00	50.60
06/10/2025 23:00:00	50.62
06/11/2025 00:00:00	49.13
06/11/2025 01:00:00	50.04
06/11/2025 02:00:00	49.47
06/11/2025 03:00:00	49.97
06/11/2025 04:00:00	50.07
06/11/2025 05:00:00	50.39
06/11/2025 06:00:00	49.89
06/11/2025 07:00:00	50.45
06/11/2025 08:00:00	49.74
06/11/2025 09:00:00	50.15
06/11/2025 10:00:00	49.67
06/11/2025 11:00:00	49.72
06/11/2025 12:00:00	50.07
06/11/2025 13:00:00	50.06
06/11/2025 14:00:00	50.76
06/11/2025 15:00:00	50.11
06/11/2025 16:00:00	49.92
06/11/2025 17:00:00	49.79
06/11/2025 18:00:00	50.84
06/11/2025 19:00:00	50.55
06/11/2025 20:00:00	49.99
06/11/2025 21:00:00	50.07
06/11/2025 22:00:00	49.61
06/11/2025 23:00:00	50.21
06/12/2025 00:00:00	49.90
06/12/2025 01:00:00	49.74
06/12/2025 02:00:00	49.74
06/12/2025 03:00:00	49.86
06/12/2025 04:00:00	49.39
06/12/2025 05:00:00	49.18
06/12/2025 06:00:00	50.31
06/12/2025 07:00:00	49.16
06/12/2025 08:00:00	49.60
06/12/2025 09:00:00	50.07
06/12/2025 10:00:00	50.71
06/12/2025 11:00:00	50.15
06/12/2025 12:00:00	49.35
06/12/2025 13:00:00	50.13
06/12/2025 14:00:00	49.80
06/12/2025 15:00:00	49.90
06/12/2025 16:00:00	50.18
06/12/2025 17:00:00	50.21
06/12/2025 18:00:00	49.23
06/12/2025 19:00:00	49.86
06/12/2025 20:00:00	49.79
06/12/2025 21:00:00	50.19
06/12/2025 22:00:00	49.73
06/12/2025 23:00:00	49.34
06/13/2025 00:00:00	50.05
06/13/2025 01:00:00	50.17
06/13/2025 02:00:00	49.89
06/13/2025 03:00:00	50.11
06/13/2025 04:00:00	50.02
06/13/2025 05:00:00	49.97
06/13/2025 06:00:00	50.30
06/13/2025 07:00:00	49.58
06/13/2025 08:00:00	49.60
06/13/2025 09:00:00	50.55
06/13/2025 10:00:00	50.41
06/13/2025 11:00:00	50.03
06/13/2025 12:00:00	50.19
06/13/2025 13:00:00	50.37
06/13/2025 14:00:00	49.70
06/13/2025 15:00:00	49.69
06/13/2025 16:00:00	50.91
06/13/2025 17:00:00	49.69
06/13/2025 18:00:00	50.36
06/13/2025 19:00:00	50.44
06/13/2025 20:00:00	49.36
06/13/2025 21:00:00	50.05
06/13/2025 22:00:00	49.85
06/13/2025 23:00:00	49.29
06/14/2025 00:00:00	50.18
06/14/2025 01:00:00	50.14
06/14/2025 02:00:00	49.27
06/14/2025 03:00:00	50.15
06/14/2025 04:00:00	50.06
06/14/2025 05:00:00	49.38
06/14/2025 06:00:00	50.00
06/14/2025 07:00:00	50.76
06/14/2025 08:00:00	49.49
06/14/2025 09:00:00	50.30
06/14/2025 10:00:00	50.59
06/14/2025 11:00:00	49.65
06/14/2025 12:00:00	49.70
06/14/2025 13:00:00	50.20
06/14/2025 14:00:00	50.20
06/14/2025 15:00:00	49.52
06/14/2025 16:00:00	50.37
06/14/2025 17:00:00	49.81
06/14/2025 18:00:00	49.98
06/14/2025 19:00:00	49.89
06/14/2025 20:00:00	49.90
06/14/2025 21:00:00	50.14
06/14/2025 22:00:00	50.19
06/14/2025 23:00:00	50.18
06/15/2025 00:00:00	50.03
06/15/2025 01:00:00	49.52
06/15/2025 02:00:00	50.45
06/15/2025 03:00:00	49.17
06/15/2025 04:00:00	49.37
06/15/2025 05:00:00	50.31
06/15/2025 06:00:00	49.66
06/15/2025 07:00:00	49.60
06/15/2025 08:00:00	49.47
06/15/2025 09:00:00	50.07
06/15/2025 10:00:00	49.63
06/15/2025 11:00:00	50.68
06/15/2025 12:00:00	50.20
06/15/2025 13:00:00	50.38
06/15/2025 14:00:00	49.80
06/15/2025 15:00:00	50.19
06/15/2025 16:00:00	50.04
06/15/2025 17:00:00	51.00
06/15/2025 18:00:00	50.69
06/15/2025 19:00:00	50.36
06/15/2025 20:00:00	50.54
06/15/2025 21:00:00	49.83
06/15/2025 22:00:00	49.58
06/15/2025 23:00:00	49.86
06/16/2025 00:00:00	49.90
06/16/2025 01:00:00	50.23
06/16/2025 02:00:00	49.95
06/16/2025 03:00:00	50.27
06/16/2025 04:00:00	50.66
06/16/2025 05:00:00	50.53
06/16/2025 06:00:00	50.32
06/16/2025 07:00:00	49.57
06/16/2025 08:00:00	50.13
06/16/2025 09:00:00	49.63
06/16/2025 10:00:00	50.86
06/16/2025 11:00:00	50.63
06/16/2025 12:00:00	49.26
06/16/2025 13:00:00	49.86
06/16/2025 14:00:00	50.39
06/16/2025 15:00:00	49.43
06/16/2025 16:00:00	50.28
06/16/2025 17:00:00	49.83
06/16/2025 18:00:00	50.43
06/16/2025 19:00:00	49.76
06/16/2025 20:00:00	49.96
06/16/2025 21:00:00	50.53
06/16/2025 22:00:00	50.45
06/16/2025 23:00:00	49.87
06/17/2025 00:00:00	49.54
06/17/2025 01:00:00	49.95
06/17/2025 02:00:00	50.16
06/17/2025 03:00:00	49.59
06/17/2025 04:00:00	49.70
06/17/2025 05:00:00	50.52
06/17/2025 06:00:00	50.06
06/17/2025 07:00:00	49.85
06/17/2025 08:00:00	49.46
06/17/2025 09:00:00	50.01
06/17/2025 10:00:00	50.30
06/17/2025 11:00:00	50.53
06/17/2025 12:00:00	49.29
06/17/2025 13:00:00	50.22
06/17/2025 14:00:00	49.82
06/17/2025 15:00:00	49.77
06/17/2025 16:00:00	50.41
06/17/2025 17:00:00	50.79
06/17/2025 18:00:00	49.77
06/17/2025 19:00:00	50.43
06/17/2025 20:00:00	50.16
06/17/2025 21:00:00	50.50
06/17/2025 22:00:00	50.06
06/17/2025 23:00:00	50.24
06/18/2025 00:00:00	49.86
06/18/2025 01:00:00	50.27
06/18/2025 02:00:00	49.67
06/18/2025 03:00:00	49.82
06/18/2025 04:00:00	50.54
06/18/2025 05:00:00	50.39
06/18/2025 06:00:00	50.40
06/18/2025 07:00:00	50.35
06/18/2025 08:00:00	50.31
06/18/2025 09:00:00	50.25
06/18/2025 10:00:00	49.93
06/18/2025 11:00:00	50.12
06/18/2025 12:00:00	49.85
06/18/2025 13:00:00	49.85
06/18/2025 14:00:00	49.83
06/18/2025 15:00:00	49.57
06/18/2025 16:00:00	50.46
06/18/2025 17:00:00	50.23
06/18/2025 18:00:00	50.16
06/18/2025 19:00:00	50.31
06/18/2025 20:00:00	50.19
06/18/2025 21:00:00	49.91
06/18/2025 22:00:00	49.97
06/18/2025 23:00:00	50.16
06/19/2025 00:00:00	50.91
06/19/2025 01:00:00	49.93
06/19/2025 02:00:00	49.39
06/19/2025 03:00:00	50.36
06/19/2025 04:00:00	50.22
06/19/2025 05:00:00	49.39
06/19/2025 06:00:00	49.71
06/19/2025 07:00:00	50.29
06/19/2025 08:00:00	50.81
06/19/2025 09:00:00	50.19
06/19/2025 10:00:00	49.63
06/19/2025 11:00:00	50.21
06/19/2025 12:00:00	49.75
06/19/2025 13:00:00	50.22
06/19/2025 14:00:00	49.39
06/19/2025 15:00:00	50.10
06/19/2025 16:00:00	49.73
06/19/2025 17:00:00	50.39
06/19/2025 18:00:00	50.47
06/19/2025 19:00:00	49.81
06/19/2025 20:00:00	50.47
06/19/2025 21:00:00	49.24
06/19/2025 22:00:00	50.51
06/19/2025 23:00:00	50.33
06/20/2025 00:00:00	49.79
06/20/2025 01:00:00	50.53
06/20/2025 02:00:00	49.67
06/20/2025 03:00:00	49.93
06/20/2025 04:00:00	50.32
06/20/2025 05:00:00	50.09
06/20/2025 06:00:00	50.21
06/20/2025 07:00:00	49.92
06/20/2025 08:00:00	50.22
06/20/2025 09:00:00	50.26
06/20/2025 10:00:00	49.79
06/20/2025 11:00:00	49.73
06/20/2025 12:00:00	50.39
06/20/2025 13:00:00	50.05
06/20/2025 14:00:00	50.07
06/20/2025 15:00:00	49.52
06/20/2025 16:00:00	50.04
06/20/2025 17:00:00	50.77
06/20/2025 18:00:00	50.16
06/20/2025 19:00:00	50.42
06/20/2025 20:00:00	49.52
06/20/2025 21:00:00	49.26
06/20/2025 22:00:00	50.60
06/20/2025 23:00:00	50.43
06/21/2025 00:00:00	49.95
06/21/2025 01:00:00	49.73
06/21/2025 02:00:00	50.42
06/21/2025 03:00:00	51.03
06/21/2025 04:00:00	50.37
06/21/2025 05:00:00	50.27
06/21/2025 06:00:00	50.36
06/21/2025 07:00:00	50.81
06/21/2025 08:00:00	50.45
06/21/2025 09:00:00	50.22
06/21/2025 10:00:00	49.72
06/21/2025 11:00:00	49.63
06/21/2025 12:00:00	50.02
06/21/2025 13:00:00	49.88
06/21/2025 14:00:00	50.47
06/21/2025 15:00:00	49.46
06/21/2025 16:00:00	50.03
06/21/2025 17:00:00	50.08
06/21/2025 18:00:00	50.16
06/21/2025 19:00:00	50.00
06/21/2025 20:00:00	49.67
06/21/2025 21:00:00	49.78
06/21/2025 22:00:00	50.05
06/21/2025 23:00:00	50.37
06/22/2025 00:00:00	49.54
06/22/2025 01:00:00	49.90
06/22/2025 02:00:00	49.45
06/22/2025 03:00:00	50.37
06/22/2025 04:00:00	50.34
06/22/2025 05:00:00	49.56
06/22/2025 06:00:00	49.61
06/22/2025 07:00:00	49.79
06/22/2025 08:00:00	50.39
06/22/2025 09:00:00	50.03
06/22/2025 10:00:00	50.27
06/22/2025 11:00:00	49.99
06/22/2025 12:00:00	49.82
06/22/2025 13:00:00	49.62
06/22/2025 14:00:00	50.08
06/22/2025 15:00:00	50.68
06/22/2025 16:00:00	49.85
06/22/2025 17:00:00	50.25
06/22/2025 18:00:00	50.09
06/22/2025 19:00:00	50.15
06/22/2025 20:00:00	50.32
06/22/2025 21:00:00	49.79
06/22/2025 22:00:00	50.22
06/22/2025 23:00:00	50.34
06/23/2025 00:00:00	49.43
06/23/2025 01:00:00	49.94
06/23/2025 02:00:00	50.52
06/23/2025 03:00:00	49.73
06/23/2025 04:00:00	48.64
06/23/2025 05:00:00	49.00
06/23/2025 06:00:00	50.62
06/23/2025 07:00:00	49.84
06/23/2025 08:00:00	49.98
06/23/2025 09:00:00	50.16
06/23/2025 10:00:00	49.66
06/23/2025 11:00:00	49.83
06/23/2025 12:00:00	50.00
06/23/2025 13:00:00	49.64
06/23/2025 14:00:00	50.32
06/23/2025 15:00:00	49.58
06/23/2025 16:00:00	50.86
06/23/2025 17:00:00	50.00
06/23/2025 18:00:00	50.14
06/23/2025 19:00:00	50.33
06/23/2025 20:00:00	49.98
06/23/2025 21:00:00	50.14
06/23/2025 22:00:00	50.41
06/23/2025 23:00:00	50.22
06/24/2025 00:00:00	49.70
06/24/2025 01:00:00	50.13
06/24/2025 02:00:00	50.20
06/24/2025 03:00:00	50.39
06/24/2025 04:00:00	49.40
06/24/2025 05:00:00	50.13
06/24/2025 06:00:00	50.06
06/24/2025 07:00:00	49.89
06/24/2025 08:00:00	49.24
06/24/2025 09:00:00	50.16
06/24/2025 10:00:00	50.25
06/24/2025 11:00:00	50.11
06/24/2025 12:00:00	49.32
06/24/2025 13:00:00	49.81
06/24/2025 14:00:00	50.01
06/24/2025 15:00:00	49.78
06/24/2025 16:00:00	50.02
06/24/2025 17:00:00	50.49
06/24/2025 18:00:00	49.96
06/24/2025 19:00:00	49.44
06/24/2025 20:00:00	49.95
06/24/2025 21:00:00	49.87
06/24/2025 22:00:00	49.88
06/24/2025 23:00:00	49.52
06/25/2025 00:00:00	50.03
06/25/2025 01:00:00	49.57
06/25/2025 02:00:00	49.88
06/25/2025 03:00:00	50.28
06/25/2025 04:00:00	49.46
06/25/2025 05:00:00	50.35
06/25/2025 06:00:00	50.00
06/25/2025 07:00:00	49.85
06/25/2025 08:00:00	50.14
06/25/2025 09:00:00	49.54
06/25/2025 10:00:00	50.63
06/25/2025 11:00:00	49.98
06/25/2025 12:00:00	48.98
06/25/2025 13:00:00	50.04
06/25/2025 14:00:00	49.63
06/25/2025 15:00:00	49.30
06/25/2025 16:00:00	49.53
06/25/2025 17:00:00	50.18
06/25/2025 18:00:00	49.63
06/25/2025 19:00:00	49.97
06/25/2025 20:00:00	49.86
06/25/2025 21:00:00	50.44
06/25/2025 22:00:00	50.50
06/25/2025 23:00:00	49.34
06/26/2025 00:00:00	49.93
06/26/2025 01:00:00	50.28
06/26/2025 02:00:00	49.82
06/26/2025 03:00:00	50.39
06/26/2025 04:00:00	50.14
06/26/2025 05:00:00	49.95
06/26/2025 06:00:00	50.19
06/26/2025 07:00:00	50.07
06/26/2025 08:00:00	49.62
06/26/2025 09:00:00	50.65
06/26/2025 10:00:00	50.20
06/26/2025 11:00:00	50.51
06/26/2025 12:00:00	50.03
06/26/2025 13:00:00	49.45
06/26/2025 14:00:00	50.10
06/26/2025 15:00:00	50.08
06/26/2025 16:00:00	50.05
06/26/2025 17:00:00	50.08
06/26/2025 18:00:00	50.21
06/26/2025 19:00:00	50.26
06/26/2025 20:00:00	49.88
06/26/2025 21:00:00	49.76
06/26/2025 22:00:00	49.92
06/26/2025 23:00:00	49.07
06/27/2025 00:00:00	49.54
06/27/2025 01:00:00	49.82
06/27/2025 02:00:00	49.60
06/27/2025 03:00:00	49.92
06/27/2025 04:00:00	50.16
06/27/2025 05:00:00	49.63
06/27/2025 06:00:00	49.72
06/27/2025 07:00:00	50.13
06/27/2025 08:00:00	49.94
06/27/2025 09:00:00	49.61
06/27/2025 10:00:00	50.20
06/27/2025 11:00:00	49.76
06/27/2025 12:00:00	49.90
06/27/2025 13:00:00	49.49
06/27/2025 14:00:00	50.00
06/27/2025 15:00:00	49.67
06/27/2025 16:00:00	49.37
06/27/2025 17:00:00	49.99
06/27/2025 18:00:00	50.14
06/27/2025 19:00:00	50.36
06/27/2025 20:00:00	49.95
06/27/2025 21:00:00	50.29
06/27/2025 22:00:00	49.55
06/27/2025 23:00:00	50.00
06/28/2025 00:00:00	50.54
06/28/2025 01:00:00	49.90
06/28/2025 02:00:00	49.78
06/28/2025 03:00:00	50.11
06/28/2025 04:00:00	49.89
06/28/2025 05:00:00	49.62
06/28/2025 06:00:00	50.24
06/28/2025 07:00:00	50.44
06/28/2025 08:00:00	50.02
06/28/2025 09:00:00	49.66
06/28/2025 10:00:00	49.75
06/28/2025 11:00:00	50.33
06/28/2025 12:00:00	50.03
06/28/2025 13:00:00	50.20
06/28/2025 14:00:00	49.93
06/28/2025 15:00:00	50.42
06/28/2025 16:00:00	50.57
06/28/2025 17:00:00	49.27
06/28/2025 18:00:00	49.79
06/28/2025 19:00:00	49.49
06/28/2025 20:00:00	50.07
06/28/2025 21:00:00	50.11
06/28/2025 22:00:00	50.20
06/28/2025 23:00:00	50.43
06/29/2025 00:00:00	50.03
06/29/2025 01:00:00	50.02
06/29/2025 02:00:00	50.28
06/29/2025 03:00:00	50.09
06/29/2025 04:00:00	50.58
06/29/2025 05:00:00	49.70
06/29/2025 06:00:00	50.04
06/29/2025 07:00:00	49.87
06/29/2025 08:00:00	49.25
06/29/2025 09:00:00	49.42
06/29/2025 10:00:00	49.41
06/29/2025 11:00:00	49.83
06/29/2025 12:00:00	50.04
06/29/2025 13:00:00	49.92
06/29/2025 14:00:00	50.05
06/29/2025 15:00:00	50.43
06/29/2025 16:00:00	50.51
06/29/2025 17:00:00	50.27
06/29/2025 18:00:00	49.83
06/29/2025 19:00:00	50.24
06/29/2025 20:00:00	49.96
06/29/2025 21:00:00	49.70
06/29/2025 22:00:00	49.82
06/29/2025 23:00:00	49.78
